accuracy,auc,auc_pr,loss,precision,recall,val_accuracy,val_auc,val_auc_pr,val_loss,val_precision,val_recall,learning_rate
0.9991592764854431,0.9998822808265686,0.9988929629325867,0.002848544856533408,0.9934746623039246,0.9993292689323425,0.9997401833534241,0.9995080232620239,0.9986794590950012,0.0019430365646257997,0.9988821744918823,0.9988821744918823,0.0005000000237487257
0.999749481678009,0.9999681711196899,0.9995174407958984,0.0008717137388885021,0.9980391263961792,0.9998083710670471,0.9997401833534241,0.9996322989463806,0.999035656452179,0.001900020521134138,0.9991053342819214,0.9986585974693298,0.0005000000237487257
0.9997550249099731,0.9999344944953918,0.9993367791175842,0.001242181402631104,0.998039186000824,0.9998562932014465,0.9998441338539124,0.9999813437461853,0.9997350573539734,0.0008836455526761711,0.9988831877708435,0.9997764229774475,0.0005000000237487257
0.999727189540863,0.9999646544456482,0.9994667768478394,0.0010828259401023388,0.9979434609413147,0.9997125267982483,0.9994543790817261,0.9980552792549133,0.9965999126434326,0.010313333943486214,0.9991031289100647,0.9961994290351868,0.0005000000237487257
0.9997550249099731,0.9999680519104004,0.9995167851448059,0.0008433241746388376,0.9980868697166443,0.9998083710670471,0.9995583295822144,0.9985024333000183,0.9972410202026367,0.010662909597158432,0.9991039633750916,0.997093677520752,0.0005000000237487257
0.9997717142105103,0.999944269657135,0.9994831085205078,0.0010077919578179717,0.9982777833938599,0.9997604489326477,0.9998700618743896,0.9999557733535767,0.9993280172348022,0.0006156249437481165,0.9988834261894226,1.0,0.0005000000237487257
0.9997550249099731,0.9999536275863647,0.999627411365509,0.0009208487463183701,0.9980868697166443,0.9998083710670471,0.9998960494995117,0.9999555945396423,0.9993249177932739,0.0006012538215145469,0.9993296265602112,0.9997764229774475,0.0005000000237487257
0.9998329877853394,0.9999746084213257,0.9996153116226196,0.0005387913552112877,0.998660147190094,0.9999041557312012,0.9997401833534241,0.9995085000991821,0.9986861944198608,0.0027094187680631876,0.9993287324905396,0.9984350800514221,0.0005000000237487257
0.9997438788414001,0.9999472498893738,0.999530553817749,0.0010385799687355757,0.9979913830757141,0.9998083710670471,0.9995842576026917,0.9987242221832275,0.9975350499153137,0.011967490427196026,0.9993277788162231,0.997093677520752,0.0005000000237487257
0.9997327327728271,0.999929666519165,0.9995924234390259,0.0012005585012957454,0.9979435801506042,0.9997604489326477,0.9998960494995117,0.9999558329582214,0.9993288516998291,0.0006316161598078907,0.9991065263748169,1.0,0.0005000000237487257
